,train1,train2
0,549,8
1,2,19
2,23,38
3,8,92
4,600,96
5,1369,108
6,200,122
7,1534,133
8,953,148
9,370,162
10,180,168
11,203,172
12,271,176
13,1453,189
14,19,208
15,251,209
16,306,224
17,321,226
18,1330,228
19,1675,234
20,883,252
21,447,253
22,208,256
23,78,269
24,336,272
25,176,277
26,1231,300
27,226,322
28,780,335
29,658,349
30,69,363
31,357,376
32,453,387
33,144,388
34,186,408
35,691,415
36,1304,420
37,823,421
38,1464,425
39,665,428
40,311,432
41,912,439
42,730,442
43,287,443
44,1356,444
45,393,446
46,749,458
47,506,464
48,1651,479
49,1484,492
50,1315,496
51,983,498
52,950,510
53,222,528
54,49,531
55,545,536
56,1215,539
57,367,540
58,242,541
59,2010,544
60,459,548
61,1401,555
62,776,557
63,689,566
64,1491,568
65,1211,572
66,850,574
67,1278,586
68,1280,595
69,1350,597
70,2023,601
71,2258,604
72,141,609
73,1810,611
74,737,618
75,766,619
76,385,622
77,622,624
78,211,641
79,1477,650
80,105,652
81,252,654
82,820,655
83,533,658
84,653,659
85,2042,685
86,910,689
87,1435,690
88,116,692
89,412,695
90,1148,696
91,1573,701
92,1931,714
93,1817,717
94,1372,720
95,534,731
96,919,740
97,729,741
98,1294,746
99,438,751
100,294,754
101,1159,756
102,853,761
103,2121,763
104,20,768
105,531,769
106,709,770
107,356,771
108,2079,775
109,1593,776
110,1037,778
111,1751,783
112,785,788
113,1786,792
114,2080,799
115,1442,800
116,1218,813
117,1042,818
118,1034,819
119,1225,821
120,2201,823
121,1134,830
122,84,831
123,2353,832
124,1460,833
125,463,839
126,2223,840
127,1604,844
128,1409,847
129,1636,860
130,1450,861
131,1189,864
132,48,867
133,2390,869
134,1907,873
135,54,877
136,181,880
137,2220,890
138,806,895
139,215,905
140,2550,908
141,976,909
142,1726,912
143,1706,919
144,601,920
145,2205,923
146,887,927
147,2354,931
148,867,934
149,961,936
150,2120,940
151,2005,949
152,677,952
153,1525,953
154,1154,956
155,1882,963
156,1306,976
157,2123,977
158,1686,981
159,1993,983
160,840,986
161,1363,989
162,1073,993
163,903,994
164,543,999
165,361,1000
166,918,1002
167,1629,1015
168,1489,1017
169,1059,1019
170,908,1024
171,1656,1033
172,1024,1035
173,1730,1039
174,1249,1040
175,1284,1043
176,1358,1051
177,1398,1056
178,2055,1058
179,774,1060
180,1212,1061
181,1227,1068
182,2241,1073
183,2260,1079
184,859,1080
185,1614,1081
186,1506,1082
187,973,1083
188,1009,1088
189,1729,1092
190,582,1100
191,2416,1101
192,2321,1103
193,495,1113
194,1692,1124
195,2257,1126
196,1068,1130
197,1240,1132
198,1626,1135
199,1057,1136
200,1391,1138
201,1571,1147
202,974,1148
203,1868,1152
204,2128,1157
205,2102,1158
206,2435,1160
207,991,1161
208,1917,1162
209,2008,1164
210,890,1168
211,507,1176
212,1576,1177
213,675,1182
214,752,1184
215,2224,1185
216,1392,1190
217,2108,1193
218,1820,1199
219,1701,1200
220,1158,1209
221,1457,1210
222,1758,1215
223,625,1216
224,1100,1218
225,676,1222
226,833,1224
227,1542,1225
228,1693,1227
229,1616,1235
230,2563,1236
231,2275,1238
232,1739,1239
233,1087,1240
234,1119,1243
235,1709,1257
236,2279,1259
237,1982,1262
238,1322,1270
239,636,1271
240,1570,1272
241,650,1273
242,1545,1280
243,2122,1289
244,1289,1293
245,649,1295
246,1364,1303
247,889,1309
248,1201,1310
249,2377,1332
250,2097,1334
251,1886,1345
252,1324,1347
253,1642,1349
254,1780,1366
255,2525,1368
256,1234,1369
257,1889,1375
258,1643,1381
259,313,1384
260,2041,1385
261,2036,1390
262,1371,1398
263,1411,1413
264,2105,1426
265,1900,1433
266,1423,1438
267,464,1446
268,1206,1453
269,1404,1457
270,2503,1461
271,1976,1469
